feature,importance_mean,importance_std
"cat__lat_long_37.361987, -120.748394",0.0,0.0
"cat__lat_long_37.369709, -122.215844",0.0,0.0
"cat__lat_long_37.371862, -121.860349",0.0,0.0
"cat__lat_long_37.375156, -121.795867",0.0,0.0
"cat__lat_long_37.375816, -119.739935",0.0,0.0
"cat__lat_long_37.378541, -122.020456",0.0,0.0
"cat__lat_long_37.380662, -122.086022",0.0,0.0
"cat__lat_long_37.382909, -121.634151",0.0,0.0
"cat__lat_long_37.386978, -122.177746",0.0,0.0
"cat__lat_long_37.387027, -121.897775",0.0,0.0
"cat__lat_long_37.388349, -122.075299",0.0,0.0
"cat__lat_long_37.393554, -121.965114",0.0,0.0
"cat__lat_long_37.394411, -120.127262",0.0,0.0
"cat__lat_long_37.394536, -120.890747",0.0,0.0
"cat__lat_long_37.218705, -121.762429",0.0,0.0
"cat__lat_long_37.186141, -121.843554",0.0,0.0
"cat__lat_long_36.618337, -121.926417",0.0,0.0
"cat__lat_long_36.78724, -119.827813",0.0,0.0
"cat__lat_long_36.739385, -119.753649",0.0,0.0
"cat__lat_long_36.749403, -119.787574",0.0,0.0
"cat__lat_long_36.751489, -119.68072",0.0,0.0
"cat__lat_long_36.757345, -119.818274",0.0,0.0
"cat__lat_long_36.768774, -119.762633",0.0,0.0
"cat__lat_long_36.77462, -121.664714",0.0,0.0
"cat__lat_long_36.784481, -121.759054",0.0,0.0
"cat__lat_long_36.785618, -120.625382",0.0,0.0
"cat__lat_long_36.789213, -119.140338",0.0,0.0
"cat__lat_long_36.833002, -119.82947",0.0,0.0
"cat__lat_long_36.78979, -119.929894",0.0,0.0
"cat__lat_long_36.793601, -119.761131",0.0,0.0
"cat__lat_long_36.798882, -120.019511",0.0,0.0
"cat__lat_long_36.799648, -119.801247",0.0,0.0
"cat__lat_long_36.807595, -118.901544",0.0,0.0
"cat__lat_long_36.810568, -121.503022",0.0,0.0
"cat__lat_long_36.814539, -119.711868",0.0,0.0
"cat__lat_long_36.819628, -119.440414",0.0,0.0
"cat__lat_long_36.732694, -119.783786",0.0,0.0
"cat__lat_long_36.727418, -120.123526",0.0,0.0
"cat__lat_long_36.722898, -121.633648",0.0,0.0
"cat__lat_long_36.719141, -119.202677",0.0,0.0
"cat__lat_long_36.622237, -119.521126",0.0,0.0
"cat__lat_long_36.623632, -119.741322",0.0,0.0
"cat__lat_long_36.624338, -121.615669",0.0,0.0
"cat__lat_long_36.624641, -121.647195",0.0,0.0
"cat__lat_long_36.625114, -121.823565",0.0,0.0
"cat__lat_long_36.625792, -119.672483",0.0,0.0
"cat__lat_long_36.633498, -119.298895",0.0,0.0
"cat__lat_long_36.635661, -120.288644",0.0,0.0
"cat__lat_long_36.636638, -119.421842",0.0,0.0
"cat__lat_long_36.64152, -121.622188",0.0,0.0
"cat__lat_long_36.64545, -118.924982",0.0,0.0
"cat__lat_long_36.654614, -119.903674",0.0,0.0
"cat__lat_long_36.657462, -119.595293",0.0,0.0
"cat__lat_long_36.667794, -121.601306",0.0,0.0
"cat__lat_long_36.687292, -120.437354",0.0,0.0
"cat__lat_long_36.689582, -121.758398",0.0,0.0
"cat__lat_long_34.598221, -117.79593",0.0,0.0
"cat__lat_long_36.822715, -119.761826",0.0,0.0
"cat__lat_long_36.841655, -119.797113",0.0,0.0
"cat__lat_long_37.17277, -119.2997",0.0,0.0
"cat__lat_long_37.089111, -122.062213",0.0,0.0
